"_id",name,x1,x2,x3,x4,x5,y
619f9298c5d789f8689812bb,Capart,-589,-847,-521,,-26,
619f9298c5d789f8689812bc,Capart,-309,-36,-772,625,288,-383452762
619f9298c5d789f8689812bd,Bannani,0,365,,-299,448,123509.40567790992
619f9298c5d789f8689812be,Villoteau,-55,0,,473,,0
619f9298c5d789f8689812bf,Atsi,-296,771,-561055,,-84,-355406
619f9298c5d789f8689812c0,Caduela,3,507,,-118,-349.8470696538259,0
619f9298c5d789f8689812c1,Bartek,507,-38,-867,929,,0
619f9298c5d789f8689812c2,Lecart,-55,-711,-587,-603.8176474930383,407,-88504482
619f9298c5d789f8689812c3,Chevriaux,818,-646,-39,-318,-7,
619f9298c5d789f8689812c4,De Jesus,-1069893,-90,74,-18,,983650
619f9298c5d789f8689812c5,Chevriaux,926,279,-567,-174,-911020,-745722087
619f9298c5d789f8689812c6,Lievin,-13,-558.9887973455385,291,,590,-7022.808191300474
619f9298c5d789f8689812c7,Zaouch,46,,-774,848804,,2130898
619f9298c5d789f8689812c8,Villoteau,0,890.434144149351,-969,-688,-817,530975786
619f9298c5d789f8689812c9,Lemesle,-95.29062779511419,0,-20.514185662044667,486,-185,-104259.20016744435
619f9298c5d789f8689812ca,Oulad Mansour,,0,-821,-238.3430355748811,-975,0
619f9298c5d789f8689812cb,De Jesus,946,-658,976,894,58,154474
619f9298c5d789f8689812cc,Leger,134431,-518,,-413,189,
619f9298c5d789f8689812cd,Djouhri,-439,-548,403.19448113185433,552,-342188,-14032
619f9298c5d789f8689812ce,Noiret,0,0,745481,0,-222,1322130
619f9298c5d789f8689812cf,Capart,0,694,-212,986,-316,-575846
619f9298c5d789f8689812d0,Blondel,,723,-3,-234,-41,423876
619f9298c5d789f8689812d1,Drouart,-291,0,375,0,-520,86840204
619f9298c5d789f8689812d2,Lecart,897,697,-580,-536,-730,
619f9298c5d789f8689812d3,Domont,0,409,827,-131,-668,247073
619f9298c5d789f8689812d4,Di Loretto,,559,577,0,814,214964
619f9298c5d789f8689812d5,De Jesus,-935,,137,-548,934,
619f9298c5d789f8689812d6,Vautherot,-368852,-14,-158,0,-910,-492490
619f9298c5d789f8689812d7,Blondel,587.797122690776,468,,474,-952,0
619f9298c5d789f8689812d8,Thomine,1082114,-717,-76,-264,-966570,1251441
619f9298c5d789f8689812d9,Cagnache,552,595,0,-344,319.1894131565807,0
619f9298c5d789f8689812da,Castaigne,-539,-471,154,-320,,-225377460
619f9298c5d789f8689812db,Domont,-441,-395.35525460281957,0,-392,-700,90305
619f9298c5d789f8689812dc,Capart,680,-74.41966455100275,989,-852,-620,
619f9298c5d789f8689812dd,Bannani,-509.0398782556086,0,0,943239,959,952361421
619f9298c5d789f8689812de,Oulad Mansour,-542,881,41.68573783265154,-456,-384,-496047057
619f9298c5d789f8689812df,Bannani,-96,-99,,-81,754,-3868
619f9298c5d789f8689812e0,Blondel,-64438,872,-261,576,,795292
619f9298c5d789f8689812e1,Keklik,1413.8953726552822,0,-631048,691,-199.2319636550794,0
619f9298c5d789f8689812e2,Cagnache,-220,-774,184.25066769788953,-717,0,1067024
619f9298c5d789f8689812e3,Villoteau,,0,98,0,-413.39720181357137,358874
619f9298c5d789f8689812e4,Di Loretto,317,598,-145,379.7539278610826,960.6846262300926,-130170
619f9298c5d789f8689812e5,Djouhri,-102,54,,-656,192203,-95597
619f9298c5d789f8689812e6,Caduela,,486,198,,-822,-643616
619f9298c5d789f8689812e7,Noiret,-455,827,-426,456,60,-958048630
619f9298c5d789f8689812e8,Blondel,120.52307327862565,722,203,0,244,
619f9298c5d789f8689812e9,Villoteau,193.7713697421988,0,-511,-638,-124.22978643140011,334351
619f9298c5d789f8689812ea,Keklik,759,519,-300,5.5350191274754055,-15.939397261029598,
619f9298c5d789f8689812eb,Atsi,-612,0,421,695,-1084336,525896
619f9298c5d789f8689812ec,Atsi,-784366,214,0,-168,-172,168997.401548827
619f9298c5d789f8689812ed,Lemesle,-749,319,-445511,425.6865115825096,624,109199
619f9298c5d789f8689812ee,Lievin,,,-281,207,-451,1688428
619f9298c5d789f8689812ef,Lemesle,39,988.9651117915332,154,1250.8915702587294,-984,-1547210
619f9298c5d789f8689812f0,Cagnache,324,1023231,-651,372,-86,-1820236
619f9298c5d789f8689812f1,Vautherot,449,-896,-480,-664,784,1808583
619f9298c5d789f8689812f2,Castaigne,126,805,-512,4,0,-720552
619f9298c5d789f8689812f3,Keklik,-813,548834,,0,-313,0
619f9298c5d789f8689812f4,Chevriaux,-920,9,113,1709.4838948890729,,642045
619f9298c5d789f8689812f5,Bartek,-982124,931,,744,-855,0
619f9298c5d789f8689812f6,Drouart,-429,295526,,110.76218485309242,-159,0
619f9298c5d789f8689812f7,Lemesle,0,-359,776,-279,-31,122952
619f9298c5d789f8689812f8,Collin,423,,688,-861,133,-701848.4773525754
619f9298c5d789f8689812f9,Collin,458,-760,0,,994,-1054982
619f9298c5d789f8689812fa,Caduela,-276,,273,0,466,350668
619f9298c5d789f8689812fb,Capart,-788,,155,-934,,0
619f9298c5d789f8689812fc,Collin,-394.836075658244,331,-40,436,-749,
619f9298c5d789f8689812fd,Lemesle,14,389,632,190,-443,-972131666
619f9298c5d789f8689812fe,Blondel,-318,-894.8515344523242,218,-966,-618827,-608872
619f9298c5d789f8689812ff,Cagnache,200,432,-459,,-441.48115955286556,-756130.8020149181
619f9298c5d789f868981300,Caduela,-253,0,694,-431,104434,0
619f9298c5d789f868981301,Cagnache,349965,-281,622,998,497,-173120464
619f9298c5d789f868981302,Castaigne,131,-43,-504.7590669274559,-931.5190997074462,356,-760698
619f9298c5d789f868981303,Capart,194,-864,-995,-216,132,424205
619f9298c5d789f868981304,Caduela,0,0,114,38885,983,-291190
619f9298c5d789f868981305,Caduela,-4,-101.70241647187635,21.012956843293573,0,90,0
619f9298c5d789f868981306,Leleu,0,0,,-769923,-394,-411459.0566067125
619f9298c5d789f868981307,Oulad Mansour,-364,641,783,-98,0,0
619f9298c5d789f868981308,Di Loretto,-598,50.44047418234503,81,729,560,408835
619f9298c5d789f868981309,Domont,-108,4,-221,0,-439.9902011765229,0
619f9298c5d789f86898130a,Oulad Mansour,,229977,718,141,,-806233
619f9298c5d789f86898130b,Keklik,,913,197,-574,-142,-486125
619f9298c5d789f86898130c,Oulad Mansour,996,,352,0,-452177,402617
619f9298c5d789f86898130d,Di Loretto,643,618,-589941,302,,-557442.643933153
619f9298c5d789f86898130e,Di Loretto,145.93617531932722,758,226,-202,40,203311
619f9298c5d789f86898130f,Collin,-405,-885467,-926,-240,-191092,-1419808
619f9298c5d789f868981310,Leleu,-346,474,-978,-47,621.9423703521682,1347472
619f9298c5d789f868981311,Capart,-299,-417,-54,-331,0,42748.02153085805
619f9298c5d789f868981312,Keklik,0,-108,-645,-155,0,366481
619f9298c5d789f868981313,Oulad Mansour,126,891022,-963,-985,508,1074030
619f9298c5d789f868981314,Keklik,-646.5250429325671,,129,300,0,143445
619f9298c5d789f868981315,Vautherot,509,-257,-160,88,766,1014291
619f9298c5d789f868981316,Capart,-852,,-58883,-519,-885,-25233.886325163334
619f9298c5d789f868981317,Zaouch,-343,906576,851,-920,938,-60945.89250120278
619f9298c5d789f868981318,Cagnache,-261,-926,694,729,827.4123841296456,1465874
619f9298c5d789f868981319,Atsi,95,416,-799,695,,
619f9298c5d789f86898131a,Oulad Mansour,835,0,87,,-515,-566850
619f9298c5d789f86898131b,Atsi,762146,713262,747,,-77.50377895298907,-561618.4193871841
619f9298c5d789f86898131c,Bartek,-24.031747983416903,27,0,722,0,0
619f9298c5d789f86898131d,Bartek,512,85,0,0,575,-815373
619f9298c5d789f86898131e,Thomine,0,860,,582,877,-655872
619f9298c5d789f86898131f,Atsi,0,-144,-986,0,,-49256
619f9298c5d789f868981320,Capart,-503,-75,552.1444555542804,823,-196.47068412092904,-21477
619f9298c5d789f868981321,Castaigne,167,-710,-849,160,-351,181320
619f9298c5d789f868981322,Lecart,-150,741,-812,-196,-681,-1135803
619f9298c5d789f868981323,Cagnache,0,533,-610,-601,,128354
619f9298c5d789f868981324,Leger,901,600.8983385435437,111,-448.5811558181521,-682,-1367953
619f9298c5d789f868981325,Bartek,696,263,-282,-534,-236643,-361398301
619f9298c5d789f868981326,Collin,-287,527,-772.5128808365216,-937,-130,-1200158
619f9298c5d789f868981327,Drouart,-77,41107,1.7499704098410964,817,-1225.7620161028688,-62924
619f9298c5d789f868981328,Di Loretto,0,,-199,681,-504,-367040
619f9298c5d789f868981329,Leger,-4,,880,-616605,-20,879265
619f9298c5d789f86898132a,Caduela,311,0,107,0,6,-399142
619f9298c5d789f86898132b,Chevriaux,501,81,-481,-231,-737,-654156
619f9298c5d789f86898132c,De Jesus,154429,0,-584,-337744,335.26478305261713,0
619f9298c5d789f86898132d,Di Loretto,615,,524392,655,,358862
619f9298c5d789f86898132e,Chevriaux,,,-805,-466,561,-530272
619f9298c5d789f86898132f,Villoteau,,424,0,979,,1235016
619f9298c5d789f868981330,Vautherot,-108.51229328830996,623271,455,746,-409.8601970441667,-1050311
619f9298c5d789f868981331,Di Loretto,0,215.3358461096312,464398,-590,-1084336,127843
619f9298c5d789f868981332,Bannani,324,-430.99526746680647,866,204,-65549,13689742
619f9298c5d789f868981333,Vautherot,868,-146,-427,-694,-246.15257620771325,-234304
619f9298c5d789f868981334,Noiret,-504,225,319,-714,-806,432225
619f9298c5d789f868981335,Blondel,-139,0,-389,-818,,
619f9298c5d789f868981336,Castaigne,-761,680,-509,-166,634,-1957494231
619f9298c5d789f868981337,Villoteau,659,0,-552167,780,0,1259525
619f9298c5d789f868981338,Lemesle,-881,,,-89991,103,779944220
619f9298c5d789f868981339,Collin,-23331,317746,-1278.7206921606803,0,-846,-82404
619f9298c5d789f86898133a,Thomine,231,-316,-907,-127,959.944897535402,-269991
619f9298c5d789f86898133b,Castaigne,-207.21133231646837,-237,781,-252,336,614028
619f9298c5d789f86898133c,Lievin,-245,733,-902,-364,-194,248837.8618093887
619f9298c5d789f86898133d,Bannani,527,417,402,-928,89,0
